module,category,total_bugs,severity_weighted_total,critical_count,major_count,normal_count,minor_count,edf_count,ux_count,mx_count,mui_count,side_effect_count,at_found_count,function_count,stability_count,performance_count,regression_count,crash_count,anr_count,ui_count,localization_count,iap_count,regression_rate,automation_catch_rate,avg_repro_rate,median_repro_rate,avg_days_to_close,median_days_to_close,avg_builds_to_fix,median_builds_to_fix,open_count,closed_count,postpone_count,unique_reporters,probability_score_auto,impact_score,detectability_score,risk_score_final,quadrant
Launcher,Launcher,271,1329,11,233,27,0,2,25,0,16,1,1,0,0,0,0,0,0,24,0,0,0.0037,0.0037,0.5,0.5,24.677551020408163,5.0,132.9090909090909,0.0,0.0,0.0,2.0,12,5,0,0,0,
Timeline,Editor Core,258,1290,12,226,20,0,7,38,0,6,4,0,0,0,1,0,0,0,8,0,0,0.0155,0.0,0.5,0.5,25.347031963470318,7.0,0.0,0.0,0.0,0.0,2.0,12,5,0,0,0,
Talking Avatar,AI Features,246,1262,10,230,6,0,0,35,0,16,2,0,0,0,0,0,0,0,0,0,0,0.0081,0.0,0.5,0.5,28.279661016949152,6.0,0.0,0.0,0.0,0.0,1.0,6,5,0,0,0,
Auto Edit,Editor Core,229,1170,14,200,15,0,11,33,0,11,1,0,0,0,0,0,0,0,19,0,0,0.0044,0.0,0.5,0.5,17.65714285714286,6.0,0.0,0.0,0.0,0.0,4.0,14,5,0,0,0,
Image to Video,AI Features,220,1063,8,187,23,2,11,32,0,16,3,2,0,0,0,0,0,0,0,0,0,0.0136,0.0091,0.5,0.5,27.81313131313131,8.0,159.36363636363637,0.0,0.0,0.0,2.0,11,5,0,0,0,
AI Storytelling,AI Features,220,990,8,162,50,0,8,45,0,12,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,8.96875,5.0,0.0,0.0,0.0,0.0,1.0,7,5,0,0,0,
Mixpanel,Analytics,198,990,0,198,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0101,0.0,0.5,0.5,13.567567567567568,5.0,0.0,0.0,0.0,0.0,1.0,4,5,0,0,0,
Shortcut(AI Anime Video),AI Features,188,956,5,180,3,0,0,18,0,9,1,0,0,0,2,0,0,0,0,0,0,0.0053,0.0,0.5,0.5,14.120253164556962,3.0,0.0,0.0,0.0,0.0,4.0,7,5,0,0,0,
Auto Captions,Text & Captions,176,929,11,163,2,0,0,18,0,7,2,0,0,0,0,0,0,0,1,0,0,0.0114,0.0,0.5,0.5,34.993589743589745,5.0,0.0,0.0,0.0,0.0,3.0,8,5,0,0,0,
Text,Text & Captions,147,733,1,144,1,1,8,14,0,4,0,2,0,0,0,0,0,0,2,0,0,0.0,0.0136,0.5,0.5,36.59349593495935,7.0,0.0,0.0,0.0,0.0,5.0,11,5,0,0,0,
Video Enhancer,Enhance & Fix,137,720,7,130,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,48.99166666666667,9.0,0.0,0.0,0.0,0.0,0.0,10,5,0,0,0,
Cloud Storage,Cloud,148,665,5,110,32,1,0,12,0,3,0,0,0,0,0,0,0,0,44,0,0,0.0,0.0,0.5,0.5,11.874074074074073,5.0,0.0,0.0,0.0,0.0,3.0,8,5,0,0,0,
Text to Image,AI Features,128,604,3,108,17,0,1,31,0,6,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0078,0.5,0.5,39.74528301886792,6.0,0.0,0.0,0.0,0.0,2.0,12,5,0,0,0,
AI Music Generator,Audio,108,549,3,103,2,0,5,21,0,10,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.5,0.5,41.75,7.0,0.0,0.0,0.0,0.0,1.0,10,5,0,0,0,
Super Slow Motion,Editor Core,111,543,3,99,9,0,2,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,40.21782178217822,7.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Credit System,UI & Settings,104,521,2,99,3,0,0,9,0,12,0,0,0,0,0,0,0,0,8,0,0,0.0,0.0,0.5,0.5,21.45263157894737,5.0,1005.0,1005.0,0.0,0.0,1.0,6,5,0,0,0,
IAP,IAP,95,478,6,80,9,0,0,6,3,14,0,1,0,0,0,0,0,0,20,0,0,0.0,0.0105,0.5,0.5,14.177777777777777,5.0,60.0,60.0,0.0,0.0,0.0,8,5,0,0,0,
Motion,Visual Effects,91,467,3,87,1,0,0,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0.011,0.0,0.5,0.5,14.454545454545455,4.0,0.0,0.0,0.0,0.0,1.0,4,5,0,0,0,
Transition,UI & Settings,83,433,6,73,4,0,1,7,0,4,1,6,0,0,0,0,0,0,0,0,0,0.012,0.0723,0.5,0.5,27.205479452054796,5.0,0.0,0.0,0.0,0.0,0.0,9,5,0,0,0,
MGT,Text & Captions,81,420,3,78,0,0,0,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0.0,0.6543,0.5,0.5,19.818181818181817,14.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Opening Intro,Launcher,78,380,4,64,10,0,0,2,0,14,1,0,0,0,0,0,0,0,5,0,0,0.0128,0.0,0.5,0.5,21.819444444444443,3.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Music,Audio,75,378,6,60,9,0,1,6,0,4,2,0,0,0,0,0,0,0,9,0,0,0.0267,0.0,0.5,0.5,16.930555555555557,5.0,0.0,0.0,0.0,0.0,0.0,8,5,0,0,0,
AI Video Upscaler,Enhance & Fix,71,362,2,68,1,0,1,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0.0141,0.0,0.5,0.5,31.40909090909091,7.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Setup,QA / Testing,69,345,0,69,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0.0,1.0,0.5,0.5,12.4,11.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
AI Art,AI Features,72,329,0,62,9,1,1,13,0,3,5,0,0,0,0,0,0,0,0,0,0,0.0694,0.0,0.5,0.5,24.326923076923077,7.0,44.75,0.0,0.0,0.0,2.0,9,5,0,0,0,
Audio Ducking,Audio,66,327,0,65,1,0,1,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.5,0.5,5.174603174603175,4.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Character Motion Swap,AI Features,73,327,1,58,13,1,0,6,0,12,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0.5,0.5,7.4393939393939394,4.0,0.0,0.0,0.0,0.0,1.0,3,5,0,0,0,
AI Voice Changer,Audio,64,327,2,61,1,0,0,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0.0312,0.0,0.5,0.5,20.454545454545453,5.0,0.0,0.0,0.0,0.0,2.0,9,5,0,0,0,
Shortcut(Auto Caption),Text & Captions,62,325,3,59,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,22.48148148148148,5.0,0.0,0.0,0.0,0.0,2.0,5,5,0,0,0,
Text to Speech,Audio,65,294,1,52,12,0,0,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0308,0.0,0.5,0.5,53.33898305084746,9.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Background,Background & Cutout,54,280,2,52,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,35.705882352941174,5.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Project,Editor Core,54,271,5,41,8,0,1,7,0,1,0,0,0,0,0,1,0,0,17,0,0,0.0,0.0,0.5,0.5,30.59090909090909,5.0,0.0,0.0,0.0,0.0,0.0,9,5,0,0,0,
Launcher(Shortcut),Uncategorized,51,265,2,49,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0.0196,0.0,0.5,0.5,17.76595744680851,5.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Shortcut(AI Voice Changer),Audio,49,259,4,43,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,21.571428571428573,4.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Shortcut,Shortcut,46,245,3,43,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0217,0.0,0.5,0.5,27.375,4.5,0.0,0.0,0.0,0.0,0.0,8,5,0,0,0,
Animation,Text & Captions,48,239,1,45,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,15.853658536585366,8.0,0.0,0.0,0.0,0.0,2.0,7,5,0,0,0,
Speed,Editor Core,42,227,4,37,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,42.026315789473685,6.0,0.0,0.0,0.0,0.0,0.0,7,5,0,0,0,
Editor,Editor Core,39,219,6,31,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,15.606060606060606,6.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
AI Anime Video,AI Features,44,216,1,40,3,0,1,7,0,3,1,0,0,0,0,0,0,0,2,0,0,0.0227,0.0,0.5,0.5,44.4,7.0,0.0,0.0,0.0,0.0,0.0,8,5,0,0,0,
Launcher(AI Creation),AI Features,38,194,2,34,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,47.138888888888886,5.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
My Cloud,Cloud,44,193,0,35,9,0,0,4,0,5,2,0,0,0,0,0,0,0,5,0,0,0.0455,0.0,0.5,0.5,12.857142857142858,4.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
My Artwork,UI & Settings,38,187,0,37,1,0,0,8,0,3,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,15.771428571428572,7.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Speed Curve,Editor Core,37,187,1,35,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.142857142857142,3.0,0.0,0.0,0.0,0.0,1.0,5,5,0,0,0,
Send Feedback,UI & Settings,41,183,1,31,9,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0.0244,0.0,0.5,0.5,6.75,6.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Launcher(What's New),UI & Settings,36,182,1,34,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0.0278,0.0,0.5,0.5,13.029411764705882,5.5,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
