module,category,total_bugs,severity_weighted_total,critical_count,major_count,normal_count,minor_count,edf_count,ux_count,mx_count,mui_count,side_effect_count,at_found_count,function_count,stability_count,performance_count,regression_count,crash_count,anr_count,ui_count,localization_count,iap_count,regression_rate,automation_catch_rate,avg_repro_rate,median_repro_rate,avg_days_to_close,median_days_to_close,avg_builds_to_fix,median_builds_to_fix,open_count,closed_count,postpone_count,unique_reporters,probability_score_auto,impact_score,detectability_score,risk_score_final,quadrant,parsed_module,scoring_method,ai_reasoning
Auto Edit (Infatuation),Editor Core,14,70,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,29.285714285714285,7.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Infatuation),ollama,"The module Auto Edit (Infatuation) is critical to the Editor Core functionality and has a high regression rate, indicating a potential high-impact and high-detectability risk."
"Title, Text",Text & Captions,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,"Title, Text",ollama,High impact and high detectability due to major bugs and no automation catch rate.
Motion (In/Out/Overall),Visual Effects,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,88.66666666666667,14.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Motion (In/Out/Overall),ollama,"High impact due to high number of major bugs in Visual Effects module Motion category, with no automation catch rate, making it difficult to detect and fix"
Text(Template),Text & Captions,12,70,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,44.111111111111114,10.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Text(Template),ollama,"High impact and high detectability due to critical issues in Text(Template) module, indicating a high risk of regression."
"Timeline(Speech Enhancer, AI Denoise)",Editor Core,7,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,"Timeline(Speech Enhancer, AI Denoise)",ollama,"The Timeline module in Editor Core has 7 major bugs, indicating a high risk of impacting the overall application functionality. Given the module's category and the presence of AI Denoise, a sophisticated risk analysis is required to mitigate potential issues."
Auto Edit(Gaming_06_title),Editor Core,6,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,17.2,18.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit(Gaming_06_title),ollama,High risk due to high number of major bugs and potential for regression
Halloween Launcher,Launcher,6,30,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,4.166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Halloween Launcher,ollama,Potential for major bugs in critical launcher module increases risk of system failure
Auto Edit (Text),Editor Core,13,65,0,13,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,16.90909090909091,7.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Auto Edit (Text),ollama,"Module: Auto Edit (Text) has 13 major bugs, indicating a high risk of critical errors affecting text editing functionality."
Shortcut(AI Art),AI Features,13,65,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,36.2,4.5,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Shortcut(AI Art),ollama,High-impact AI feature with potential to cause significant business disruption if not tested thoroughly.
Launch,Launcher,14,105,7,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0714,0.1429,0.5,0.5,10.923076923076923,8.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,125,Q4 - Test First,Launch,ollama,Module Launch with high critical and major bug rates and moderate automation catch rate indicates a high risk of undetected defects impacting the launcher's functionality.
